"col0","col1","col2","col3"
"BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js",51,"chrome.bookmarks.search","chrome. ...      })"
"BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js",55,"chrome.bookmarks.create","chrome. ...      })"
"BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js",65,"chrome.bookmarks.search","chrome. ...      })"
"BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js",67,"chrome.bookmarks.create","chrome. ...      })"
"BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js",79,"chrome.bookmarks.search","chrome. ...      })"
"BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js",82,"chrome.bookmarks.remove","chrome. ... markId)"
"BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js",106,"chrome.alarms.clear","chrome. ... r('up')"
"BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js",167,"chrome.bookmarks.search","chrome. ...      })"
"BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js",219,"chrome.alarms.create","chrome. ... utes })"
"BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/popup.js",33,"chrome.bookmarks.getTree","chrome. ...      })"
"BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/popup.js",58,"chrome.bookmarks.getTree","chrome. ...      })"
"COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background.js",525,"chrome.cookies.getAll","chrome. ... in}` })"
"COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background1.js",1,"chrome.cookies.getAll","chrome. ... :""""+s})"
"COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background1.js",1,"chrome.cookies.getAll","chrome. ... }n(e)})"
"COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background1.js",1,"chrome.declarativeNetRequest.updateDynamicRules","chrome. ... s:[a]})"
"COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background1.js",1,"chrome.declarativeNetRequest.updateDynamicRules","chrome. ... ""]}}]})"
"COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background1.js",1,"chrome.declarativeNetRequest.getDynamicRules","chrome. ... Rules()"
"FORM-SEARCH-pkfehkjibljchopnmfifbeanijojgkgb.3_5_0_0/src/background.js",32,"chrome.runtime.setUninstallURL","chrome. ... {uid}`)"
"FORM-SEARCH-pkfehkjibljchopnmfifbeanijojgkgb.3_5_0_0/src/background.js",34,"chrome.tabs.create","chrome. ... \n    })"
"FORM-SEARCH-pkfehkjibljchopnmfifbeanijojgkgb.3_5_0_0/src/background.js",37,"chrome.tabs.create","chrome. ... \n    })"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js",7,"chrome.tabs.create","chrome. ... :t})}))"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js",7,"chrome.tabs.create","chrome. ... r(t)}))"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js",7,"chrome.tabs.create","chrome. ... SION)})"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js",7,"chrome.tabs.remove","chrome. ... .tabId)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js",7,"chrome.tabs.remove","chrome. ... move(r)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js",7,"chrome.cookies.get","chrome. ... lue)}))"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js",70,"chrome.runtime.sendMessage","chrome. ... n(e)}))"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js",70,"chrome.runtime.sendMessage","chrome. ... t(e)}))"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js",70,"chrome.runtime.sendMessage","chrome. ... e(t)}))"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js",70,"chrome.runtime.sendMessage","chrome. ... 0:e)}))"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js",70,"chrome.runtime.sendMessage","chrome. ... cmd:s})"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js",70,"chrome.runtime.getURL","chrome. ... o.png"")"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/contentShein.41183e58.js",1,"chrome.runtime.sendMessage","chrome. ... )}))}))"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/contentShein.41183e58.js",1,"chrome.runtime.sendMessage","chrome. ... b.id}})"
"JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js",18,"chrome.tabs.create","chrome. ...      })"
"JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js",25,"chrome.tabs.getSelected","chrome. ... );\n  })"
"JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js",26,"chrome.tabs.update","chrome. ... : url})"
