"col0","col1","col2","col3","col4"
"COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/background1.js",1,"String.fromCharCode","String.fromCharCode argument: a[i]","String. ... e(a[i])"
"COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/crypto.js",1,"String.fromCharCode","String.fromCharCode argument: o","String. ... Code(o)"
"COOKIE-ikdkbkbkdgffkcngafilhnamkgknlekc.3_0_0_0/src/sjcl.js",11,"String.fromCharCode","String.fromCharCode argument: e>>>8>>>8>>>8","String. ... >8>>>8)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js",7,"String.fromCharCode","String.fromCharCode argument: 30","String. ... ode(30)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/background.87838840.js",7,"String.fromCharCode","String.fromCharCode argument: 31","String. ... ode(31)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js",16,"String.fromCharCode","String.fromCharCode argument: n","String. ... Code(n)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js",34,"String.fromCharCode","String.fromCharCode argument: e","String. ... Code(e)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js",34,"String.fromCharCode","String.fromCharCode argument: 32","String. ... ode(32)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/content.00261377.js",34,"String.fromCharCode","String.fromCharCode argument: t.which","String. ... .which)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/contentAli.899c5f46.js",16,"String.fromCharCode","String.fromCharCode argument: n","String. ... Code(n)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/contentAli.899c5f46.js",34,"String.fromCharCode","String.fromCharCode argument: e","String. ... Code(e)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/contentAli.899c5f46.js",34,"String.fromCharCode","String.fromCharCode argument: 32","String. ... ode(32)"
"HISTORY-mmjbociiiafjimjiddoegfljjomglfoc.3_4_3_0/src/contentAli.899c5f46.js",34,"String.fromCharCode","String.fromCharCode argument: t.which","String. ... .which)"
"JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/lib/js/jquery.js",2,"String.fromCharCode","String.fromCharCode argument: n+65536","String. ... +65536)"
"JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/lib/js/jquery.js",2,"String.fromCharCode","String.fromCharCode argument: n>>10|55296","String. ... |56320)"
"JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/lib/js/jqueryui.js",7,"String.fromCharCode","String.fromCharCode argument: e.keyCode","String. ... eyCode)"
"JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/lib/js/jqueryui.js",8,"String.fromCharCode","String.fromCharCode argument: null==e ... harCode","String. ... arCode)"
"taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js",2470,"String.fromCharCode","String.fromCharCode argument: code","String. ... e(code)"
"taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/chunk-vendors.81072308.js",13682,"String.fromCharCode","String.fromCharCode argument: code","String. ... e(code)"
"taint-steps/1-getAMethodCall/src/agpoehmhgoieigdbjhgphpagmloehamn.2_0_0_0/lib/jquery/jquery-3.4.1.js",661,"String.fromCharCode","String.fromCharCode argument: high + 0x10000","String. ... 10000 )"
"taint-steps/1-getAMethodCall/src/agpoehmhgoieigdbjhgphpagmloehamn.2_0_0_0/lib/jquery/jquery-3.4.1.js",663,"String.fromCharCode","String.fromCharCode argument: high >> 10 | 0xD800","String. ... xDC00 )"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/18/18.js",2,"String.fromCharCode","String.fromCharCode argument: e","String. ... Code(e)"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/18/18.js",2,"String.fromCharCode","String.fromCharCode argument: 32","String. ... ode(32)"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/18/18.js",2,"String.fromCharCode","String.fromCharCode argument: n.which","String. ... .which)"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/313/313.js",2,"String.fromCharCode","String.fromCharCode argument: t+(t>25?39:97)","String. ... 39:97))"
"taint-steps/4-yield/src/ecmeogcbcoalojmkfkmancobmiahaigg.3_7_5_0/893/893.js",1,"String.fromCharCode","String.fromCharCode argument: t+(t>25?39:97)","String. ... 39:97))"
