"col0","col1","col2","col3"
"api-samples/action/background.js",9,"chrome.tabs.create","chrome. ... '\r\n  })"
"api-samples/action/demo/index.js",76,"chrome.tabs.create","chrome. ... om/' })"
"api-samples/action/demo/index.js",248,"chrome.runtime.getURL","chrome. ... jiFile)"
"api-samples/action/demo/index.js",260,"chrome.runtime.getManifest","chrome. ... ifest()"
"api-samples/action/demo/index.js",282,"chrome.runtime.getManifest","chrome. ... ifest()"
"api-samples/action/demo/index.js",296,"chrome.runtime.getManifest","chrome. ... ifest()"
"api-samples/alarms/background.js",16,"chrome.alarms.create","chrome. ... 1\r\n  })"
"api-samples/alarms/background.js",25,"chrome.tabs.create","chrome. ... tml' })"
"api-samples/alarms/index.js",96,"chrome.alarms.clear","chrome. ... \n    })"
"api-samples/alarms/index.js",107,"chrome.alarms.create","chrome. ... rmInfo)"
"api-samples/alarms/index.js",128,"chrome.alarms.clearAll","chrome. ... \n    })"
"api-samples/alarms/index.js",138,"chrome.alarms.getAll","chrome. ... \n    })"
"api-samples/bookmarks/popup.js",17,"chrome.bookmarks.getTree","chrome. ... t);\r\n})"
"api-samples/bookmarks/popup.js",43,"chrome.bookmarks.create","chrome. ...  }\r\n  )"
"api-samples/bookmarks/popup.js",57,"chrome.bookmarks.search","chrome. ... ;\r\n  })"
"api-samples/bookmarks/popup.js",60,"chrome.bookmarks.remove","chrome. ...  => {})"
"api-samples/contentSettings/popup.js",34,"chrome.tabs.query","chrome. ... ;\r\n  })"
"api-samples/contextMenus/global_context_search/background.js",27,"chrome.tabs.create","chrome. ...  + 1 })"
"api-samples/cookies/cookie-clearer/popup.js",7,"chrome.tabs.query","chrome. ... true })"
"api-samples/cookies/cookie-clearer/popup.js",58,"chrome.cookies.getAll","chrome. ... main })"
"api-samples/cookies/cookie-clearer/popup.js",92,"chrome.cookies.remove","chrome. ... d\r\n  })"
"api-samples/default_command_override/background.js",5,"chrome.tabs.query","chrome. ... true })"
"api-samples/default_command_override/background.js",20,"chrome.tabs.update","chrome. ... true })"
"api-samples/favicon/popup.js",2,"chrome.runtime.getURL","chrome. ... icon/')"
"api-samples/history/historyOverride/logic.js",6,"chrome.runtime.getURL","chrome. ... icon/')"
"api-samples/history/historyOverride/logic.js",36,"chrome.history.deleteUrl","chrome. ... .url })"
"api-samples/history/historyOverride/logic.js",57,"chrome.history.search","chrome. ... o\r\n  })"
"api-samples/history/historyOverride/logic.js",68,"chrome.history.deleteUrl","chrome. ... alue })"
"api-samples/history/historyOverride/logic.js",75,"chrome.history.deleteAll","chrome. ... teAll()"
"api-samples/history/historyOverride/logic.js",79,"chrome.history.search","chrome. ... 9\r\n  })"
"api-samples/history/showHistory/popup.js",18,"chrome.tabs.create","chrome. ... f\r\n  })"
"api-samples/history/showHistory/popup.js",58,"chrome.history.search","chrome. ...  }\r\n  )"
"api-samples/history/showHistory/popup.js",74,"chrome.history.getVisits","chrome. ... l(url))"
"api-samples/identity/identity.js",42,"chrome.identity.getProfileUserInfo","chrome. ... .ANY })"
"api-samples/identity/identity.js",92,"chrome.identity.getAuthToken","chrome. ... tive })"
"api-samples/identity/identity.js",112,"chrome.identity.removeCachedAuthToken","chrome. ... oken })"
"api-samples/identity/identity.js",183,"chrome.identity.getAuthToken","chrome. ... true })"
"api-samples/identity/identity.js",197,"chrome.identity.getAuthToken","chrome. ... alse })"
"api-samples/identity/identity.js",201,"chrome.identity.removeCachedAuthToken","chrome. ... oken })"
"api-samples/identity/main.js",2,"chrome.tabs.create","chrome. ... '\r\n  })"
"api-samples/nativeMessaging/extension/main.js",43,"chrome.runtime.connectNative","chrome. ... stName)"
"api-samples/omnibox/new-tab-search/background.js",9,"chrome.tabs.create","chrome. ... wURL })"
